NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;FEDERAL_STATE;POPULATION
AT1;AT11;AT110;10001;0;1981;2022;Burgenland;269 676,00
AT1;AT11;AT110;10001;0;1982;2022;Burgenland;270 727,00
AT1;AT11;AT110;10001;0;1983;2022;Burgenland;270 322,00
AT1;AT11;AT110;10001;0;1984;2022;Burgenland;269 629,00
AT1;AT11;AT110;10001;0;1985;2022;Burgenland;269 691,00
AT1;AT11;AT110;10001;0;1986;2022;Burgenland;269 362,00
AT1;AT11;AT110;10001;0;1987;2022;Burgenland;269 128,00
AT1;AT11;AT110;10001;0;1988;2022;Burgenland;269 473,00
AT1;AT11;AT110;10001;0;1989;2022;Burgenland;269 613,00
AT1;AT11;AT110;10001;0;1990;2022;Burgenland;270 670,00
AT1;AT11;AT110;10001;0;1991;2022;Burgenland;271 604,00
AT1;AT11;AT110;10001;0;1992;2022;Burgenland;274 259,00
AT1;AT11;AT110;10001;0;1993;2022;Burgenland;275 633,00
AT1;AT11;AT110;10001;0;1994;2022;Burgenland;276 300,00
AT1;AT11;AT110;10001;0;1995;2022;Burgenland;277 529,00
AT1;AT11;AT110;10001;0;1996;2022;Burgenland;277 843,00
AT1;AT11;AT110;10001;0;1997;2022;Burgenland;277 566,00
AT1;AT11;AT110;10001;0;1998;2022;Burgenland;277 210,00
AT1;AT11;AT110;10001;0;1999;2022;Burgenland;276 732,00
AT1;AT11;AT110;10001;0;2000;2022;Burgenland;276 226,00
AT1;AT11;AT110;10001;0;2001;2022;Burgenland;275 956,00
AT1;AT11;AT110;10001;0;2002;2022;Burgenland;276 673,00
AT1;AT11;AT110;10001;0;2003;2022;Burgenland;276 542,00
AT1;AT11;AT110;10001;0;2004;2022;Burgenland;276 792,00
AT1;AT11;AT110;10001;0;2005;2022;Burgenland;278 032,00
AT1;AT11;AT110;10001;0;2006;2022;Burgenland;279 127,00
AT1;AT11;AT110;10001;0;2007;2022;Burgenland;280 062,00
AT1;AT11;AT110;10001;0;2008;2022;Burgenland;280 977,00
AT1;AT11;AT110;10001;0;2009;2022;Burgenland;282 777,00
AT1;AT11;AT110;10001;0;2010;2022;Burgenland;283 697,00
AT1;AT11;AT110;10001;0;2011;2022;Burgenland;284 581,00
AT1;AT11;AT110;10001;0;2012;2022;Burgenland;285 782,00
AT1;AT11;AT110;10001;0;2013;2022;Burgenland;286 691,00
AT1;AT11;AT110;10001;0;2014;2022;Burgenland;287 416,00
AT1;AT11;AT110;10001;0;2015;2022;Burgenland;288 356,00
AT1;AT11;AT110;10001;0;2016;2022;Burgenland;291 011,00
AT1;AT11;AT110;10001;0;2017;2022;Burgenland;291 942,00
AT1;AT11;AT110;10001;0;2018;2022;Burgenland;292 675,00
AT1;AT11;AT110;10001;0;2019;2022;Burgenland;293 433,00
AT1;AT11;AT110;10001;0;2020;2022;Burgenland;294 436,00
AT1;AT11;AT110;10001;0;2021;2022;Burgenland;296 010,00
AT1;AT11;AT110;10001;0;2022;2022;Burgenland;297 583,00
AT1;AT11;AT110;10001;0;2023;2022;Burgenland;301 250,00
AT2;AT21;AT210;20001;0;1981;2022;Kärnten;536 215,00
AT2;AT21;AT210;20001;0;1982;2022;Kärnten;537 047,00
AT2;AT21;AT210;20001;0;1983;2022;Kärnten;538 772,00
AT2;AT21;AT210;20001;0;1984;2022;Kärnten;540 010,00
AT2;AT21;AT210;20001;0;1985;2022;Kärnten;540 693,00
AT2;AT21;AT210;20001;0;1986;2022;Kärnten;540 847,00
AT2;AT21;AT210;20001;0;1987;2022;Kärnten;541 787,00
AT2;AT21;AT210;20001;0;1988;2022;Kärnten;542 291,00
AT2;AT21;AT210;20001;0;1989;2022;Kärnten;542 841,00
AT2;AT21;AT210;20001;0;1990;2022;Kärnten;544 983,00
AT2;AT21;AT210;20001;0;1991;2022;Kärnten;547 752,00
AT2;AT21;AT210;20001;0;1992;2022;Kärnten;552 345,00
AT2;AT21;AT210;20001;0;1993;2022;Kärnten;558 114,00
AT2;AT21;AT210;20001;0;1994;2022;Kärnten;559 735,00
AT2;AT21;AT210;20001;0;1995;2022;Kärnten;560 708,00
AT2;AT21;AT210;20001;0;1996;2022;Kärnten;561 845,00
