statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR268;Schwäbisch Hall - Hohenlohe;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;86,9;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR268;Schwäbisch Hall - Hohenlohe;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;270584;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR260;Böblingen;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR260;Böblingen;STAZG1;Staatsangehörigkeit;;Insgesamt;366963;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR211;Altötting;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;86,8;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR211;Altötting;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;200872;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR084;Berlin-Marzahn-Hellersdorf;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;86,9;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR084;Berlin-Marzahn-Hellersdorf;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;234644;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR096;Rhein-Sieg-Kreis I;STAZG1;Staatsangehörigkeit;;Insgesamt;100,0;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR096;Rhein-Sieg-Kreis I;STAZG1;Staatsangehörigkeit;;Insgesamt;317656;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR142;Dortmund II;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;21,8;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR142;Dortmund II;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;67108;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR138;Ennepe-Ruhr-Kreis II;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;89,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR138;Ennepe-Ruhr-Kreis II;STAZG1;Staatsangehörigkeit;LAND000;Deutschland;195529;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR199;Mosel/Rhein-Hunsrück;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;10,2;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOWK1;Bundestagswahlkreise;WKR199;Mosel/Rhein-Hunsrück;STAZG1;Staatsangehörigkeit;AUSLAND;Ausland und Sonstige;22632;Anzahl;PRS018;Personen;e
