"Sex";"Periods";"Regions";"Population on 1 January (number)";"Population density (number)";"Live born children/Live born children (number)";"Live born children/Live born children, ratio (per 1,000)";"Deaths/Deaths (number)";"Deaths/Deaths, ratio (per 1,000)";"Natural increase (number)";"Arrivals in municipality/Total arrivals (number)";"Arrivals in municipality/Total arrivals, ratio (per 1,000)";"Arrivals in municipality/Due to immigration (number)";"Arrivals in municipality/Due to intermunicipal moves (number)";"Departures from municipality/Total departures including administra... (number)";"Departures from municipality/Total departures including adm..., ratio (per 1,000)";"Departures from municipality/Due to emigration including administr... (number)";"Departures from municipality/Due to intermunicipal moves (number)";"Net migration including administrative.. (number)";"Population growth/Population growth (number)";"Population growth/Population growth, ratio (per 1,000)";"Population on 31 December (number)"
"Total male and female";"1950";"The Netherlands";10026773;;229369;22,7;75580;7,5;153789;481626;47,6;;;461908;45,7;;;19718;173507;17,3;10200280
"Total male and female";"1960";"The Netherlands";11417254;;238789;20,8;87486;7,6;151303;551116;48;45407;505709;564209;49,1;58226;505983;-13093;138754;12,2;11556008
"Total male and female";"1970";"The Netherlands";12957621;;238912;18,3;109619;8,4;129293;735040;56,4;90829;644211;701773;53,8;57375;644398;33267;161809;12,5;13119430
"Total male and female";"1980";"The Netherlands";14091014;;181294;12,8;114279;8,1;67015;665926;47,1;112504;553422;615706;43,5;61948;553758;50220;117572;8,3;14208586
"Total male and female";"1990";"The Netherlands";14892574;;197965;13,2;128824;8,6;69141;683680;45,7;117350;566330;635269;42,5;68939;566330;48411;117868;7,9;15010442
"Total male and female";"2000";"The Netherlands";15863950;468;206619;13;140527;8,8;66092;746947;46,9;132850;614097;693074;43,5;78977;614097;53873;123125;7,8;15987075
"Total male and female";"2010";"The Netherlands";16574989;491;184397;11,1;136058;8,2;48339;744302;44,8;154432;589870;711221;42,8;121351;589870;33081;80810;4,9;16655799
"Total male and female";"2020";"The Netherlands";17407585;517;168681;9,7;168678;9,7;3;1014246;58,2;220853;793393;945887;54,2;152494;793393;68359;67830;3,9;17475415
"Total male and female";"2023";"The Netherlands";17811291;529;164487;9,2;169521;9,5;-5034;1154151;64,6;335668;818483;1016785;56,9;198302;818483;137366;131651;7,4;17942942
"Total male and female";"1950";"Groningen (PV)";459819;;9262;20,1;3636;7,9;5626;19708;42,8;;;23351;50,7;;;-3643;1983;4,3;461802
